CAS登録番号,物質名称,ニトリルゴム (0.1 mm),ニトリルゴム (0.11 mm),ニトリルゴム (0.12 mm),ニトリルゴム (0.13 mm),ニトリルゴム (0.2 mm),ニトリルゴム (0.3 mm),ニトリルゴム (0.38 mm),ニトリルゴム (0.45 mm),ニトリルゴム (0.46 mm),天然ゴム（ラテックス） (0.23 mm),ブチルゴム (0.35 mm),クロロプレンゴム (0.18 mm),クロロプレンゴム (0.45 mm),ポリビニルアルコール（PVA）,クロロスルホン化ポリエチレン（CSM） (0.9 mm),ポリ塩化ビニル,ウレタン (0.5 mm),フッ素ゴム/ブチルゴム (0.3 mm),クロロプレン/天然ゴム (0.68 mm),クロロプレン/天然ゴム (0.7 mm),ニトリル/ネオプレンゴム (0.2 mm),ニトリル/ネオプレンゴム (0.38 mm),ポリ塩化ビニル/ニトリルゴム,多層フィルム（LLDPE） (0.062 mm),多層フィルム（EVOH） (0.06 mm),その他多層/複層フィルム
122-18-9,Ｎ－ベンジル－Ｎ，Ｎ－ジメチルヘキサデカン－１－アミニウム，クロリド（１：１）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
122-39-4,ジフェニルアミン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,0
122-40-7,アミルケイ皮アルデヒド,0,,,,0,1,,,1,0,2,0,,3,,,,2,1,,0,,0,3,3,
122-52-1,亜リン酸トリエチル,0,,,,0,0,,,0,0,3,0,,,,,,3,1,,0,,0,3,,
122-60-1,２，３－エポキシプロピル＝フェニルエーテル（別名フェニルグリシジルエーテル）,0,,,,1,1,,1,,,3,2,,,,,,3,3,,1,,1,3,,3
122-99-6,２－フェノキシエタノール,,,,,,,,,,,,,,,,,,,,,,,,,,
123-03-5,塩化セチルピリジニウム,,,,,,,,,,,,,,,,,,,,,,,,,,
123-07-9,４－エチルフェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
123-30-8,ｐ－アミノフェノール,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
123-31-9,ヒドロキノン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
123-39-7,Ｎ－メチルホルムアミド,0,,,,0,1,,1,,1,3,2,,1,,,,3,3,,1,,1,3,3,3
123-51-3,イソペンチルアルコール,1,,,,1,3,,3,,0,3,3,,2,,0,,3,1,,3,,3,3,3,3
123-54-6,アセチルアセトン【２，４－ペンタンジオン】,0,,,,0,0,,,0,0,2,0,,3,,,,2,0,,0,,0,3,3,3
123-62-6,無水プロピオン酸,0,,,,0,1,,1,,0,3,1,,1,,,,2,2,,1,,0,3,,
123-73-9,クロトンアルデヒド（別名（Ｅ）－２－ブテナール）,0,,,,0,0,,1,,0,2,0,,0,,,,2,1,,0,,0,3,3,
123-75-1,ピロリジン,0,,,,0,1,,1,,0,2,0,,,,,,2,0,,0,,0,3,3,3
123-77-3,アゾジカルボンアミド,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
124-02-7,ジアリルアミン,0,,,,0,0,,1,,0,1,0,,,,,,1,0,,0,,0,,3,0
124-09-4,ヘキサメチレンジアミン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
124-28-7,Ｎ，Ｎ－ジメチルオクタデシルアミン,,1,,,2,3,,3,,0,1,1,,3,,,,3,1,,2,,1,3,3,
124-40-3,ジメチルアミン,0,,,,0,1,,1,,0,2,0,,1,,,,2,1,,1,,0,3,0,3
124-41-4,ナトリウムメタノラート,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
124-43-6,過酸化尿素,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
124-63-0,メタンスルホニルクロリド,0,,,,0,1,,1,,0,3,0,,0,,,,3,1,,0,,0,2,,3
124-68-5,２－アミノ－２－メチルプロパノール,3,,,,3,3,,3,,2,3,2,,3,,,,3,3,,3,,3,3,,
