,表示用,,,,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,8時間,,短時間,,,,許容濃度,,最大許容濃度,,,,,TWA,,STEL,,C,,,,,MAK,,Peak lim,,,,,,,,,水溶解度,,蒸気圧,,,,,,特化則,特化則,特化則,特化則,有機則,有機則,有機則,鉛則,四アルキル鉛中毒予防規則
CAS RN,Text,日本語名称,英語名称,GHS分類結果_ID,爆発物,可燃性ガス,エアゾール,酸化性ガス,高圧ガス,引火性液体,可燃性固体,自己反応性化学品,自然発火性液体,自然発火性固体,自己発熱性化学品,水反応可燃性化学品,酸化性液体,酸化性固体,有機過酸化物,金属腐食性化学品,鈍性化爆発物,急性毒性（経口）,急性毒性（経皮）,急性毒性（吸入：ガス）,急性毒性（吸入：蒸気）,急性毒性（吸入：粉塵、ミスト）,皮膚腐食性／刺激性,眼に対する重篤な損傷性／眼刺激性,呼吸器感作性,皮膚感作性,生殖細胞変異原性,発がん性,生殖毒性,特定標的臓器毒性（単回暴露）,特定標的臓器毒性（反復暴露）,誤えん有害性,水生環境有害性　短期（急性）,水生環境有害性　長期（慢性）,オゾン層への有害性,詳細情報（NITE HP　GHS分類結果）,モデルラベル掲載ページURL,モデルＳＤＳ掲載ページURL,ppm,mg/m3,ppm,mg/m3,備考,年度,ppm,mg/m3,ppm,mg/m3,備考,皮膚吸収,提案年度,ppm,mg/m3,ppm,mg/m3,ppm,mg/m3,備考,Skin,ドキュメンテーション採用年,ppm,mg/m3,ppm,mg/m3,備考,ドキュメンテーション採用年,"性状
液体:1、固体:2、気体:3",分子量,沸点,水／オクタノール分配係数（logKow）,引火点,値,単位,値,単位,皮膚等障害化学物質,がん原性物質,濃度基準値設定物質,皮膚等障害化学物質の裾切値,第１類,第２類,第３類,裾切,第１類,第２類,第３類,,
25376-45-8,トルイレンジアミン,トルイレンジアミン,Tolylenediamine,m-nite-25376-45-8,,,,,,,,,,,,,,,,,,3,3,,,,,,,1,,2,2,1,1,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25376-45-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25376-45-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25376-45-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,122.17,,0.16,,38,g/L,,,1,,,1,,,,,,,,,
25496-01-9,トリデシルベンゼンスルホン酸（C13）,トリデシルベンゼンスルホン酸（C13）,Tridecylbenzenesulphonic acid (C13),m-nite-25496-01-9,,,,,,,,,,,,,,,,,,4,,,,,2,2A,,,,,,,,,2,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25496-01-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25496-01-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25496-01-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2.52,,0.221,mg/L,,,,,,,,,,,,,,,
25498-49-1,トリプロピレングリコールメチルエーテル,トリプロピレングリコールメチルエーテル,Tripropylene glycol methyl ether,m-nite-25498-49-1,,,,,,,,,,,,,,,,,,,,,,,,2A,,,,,,3,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25498-49-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25498-49-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25498-49-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,241.3,0.309,113,196000,mg/L,0.02,mmHg,,,,,,,,,,,,,
25550-51-0,メチルヘキサヒドロ無水フタル酸,メチルヘキサヒドロ無水フタル酸,Methyl-hexahydrophthalic acid anhydride,m-nite-25550-51-0,,,,,,,,,,,,,,,,,,,,,,,,,1A,1B,,,,3,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25550-51-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25550-51-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25550-51-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,168.2,299,,160,,,1,Pa,1,,,1,,,,,,,,,
25550-58-7,ジニトロフェノール,ジニトロフェノール,dinitrophenol,m-nite-25550-58-7,1.1,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25550-58-7.html,-,https://anzeninfo.mhlw.go.jp/anzen/gmsds/cas-25550-58-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1.73,,6,mg/L,,,,,,,,,,,,,,,
25551-13-7,トリメチルベンゼン,トリメチルベンゼン,Trimethylbenzene,m-nite-25551-13-7,,,,,,3,,,,,,,,,,,,,,,,,2,2B,,,,,,3,1,1,2,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25551-13-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25551-13-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25551-13-7.html,10,,,,,2023,,,,,,,,10,,,,,,,,2021,20,100,40,200,II(2),,1,120.19,165,3.4,44,,,0.18,kPa,,,1,,,,,,,,,,
25584-83-2,"アクリル酸とプロパン-1,2-ジオールのモノエステル","アクリル酸とプロパン-1,2-ジオールのモノエステル","Monoester of acrylic acid and propan-1,2-diol",m-nite-25584-83-2,,,,,,,,,,,,,,,,,,4,2,,,,1,1,,1,,,,3,1,,2,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25584-83-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25584-83-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25584-83-2.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,131.15,205.7,0.35,97,307,g/L,4,Pa,1,,,1,,,,,,,,,
25637-99-4,ヘキサブロモシクロドデカン,ヘキサブロモシクロドデカン,Hexabromocyclododecane,m-nite-25637-99-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,3,,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25637-99-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25637-99-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25637-99-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,641.69532,,5.63,,0.0656,mg/L,,,,,,,,,,,,,,,
25639-42-3,メチルシクロヘキサノール,メチルシクロヘキサノール,Methylcyclohexanol,m-nite-25639-42-3,,,,,,3,,,,,,,,,,,,4,,,,,2,,,,,,,3,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25639-42-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25639-42-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25639-42-3.html,,,,,,,50,230,,,,,1980,50,,,,,,,,2004,,,,,,,1,114.19,174,2.05,,40,g/L,0.2,kPa,,,,,,,,,,1,,,
25646-71-3,N‐［2‐［（4‐アミノ‐3‐メチルフェニル）エチルアミノ］エチル］メタンスルホンアミド・硫酸塩（2：3）,N‐［2‐［（4‐アミノ‐3‐メチルフェニル）エチルアミノ］エチル］メタンスルホンアミド・硫酸塩（2：3）,N-(2-(4-amino-N-ethyl-m-toluidino)ethyl)methanesulphonamide sesquisulphate; 4-(N-ethyl-N-2-methanesulphonylaminoethyl)-2-methylphenylenediamine sesquisulphate monohydrate,m-nite-25646-71-3,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25646-71-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25646-71-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25646-71-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,451.51,,-5.1,,1000,g/L,,,,,,,,,,,,,,,
25646-77-9,2-[（4-アミノ-3-メチルフェニル）エチルアミノ]エタノール・硫酸塩,2-[（4-アミノ-3-メチルフェニル）エチルアミノ]エタノール・硫酸塩,(4-ammonio-m-tolyl)ethyl(2-hydroxyethyl)ammonium sulphate; 4-(N-ethyl-N-2-hydroxyethyl)-2-methylphenylenediamine sulphate,m-nite-25646-77-9,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25646-77-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25646-77-9.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25646-77-9.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
25808-74-6,ケイフッ化鉛,ケイフッ化鉛,lead hexafluorosilicate,m-nite-25808-74-6,,,,,,,,,,,,,,,,,,,,,,,,2A,,,,1B,1A,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25808-74-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25808-74-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25808-74-6.html,,,,,,,,0.03,,,鉛および鉛化合物（Pb として，アルキル鉛化合物を除く）,,2016,,0.05,,,,,"Lead and inorganic compounds, as  Pb",,1995,,,,,,,2,349.28,,,,,,,,,1,,,,,,,,,,,
25868-86-4,ケイフッ化マンガン,ケイフッ化マンガン,"Silicate(2-), hexafluoro-, manganese(2+) (1:1), hexahydrate",m-nite-25868-86-4,,,,,,,,,,,,,,,,,,,,,,,,2A,,,,,,3,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25868-86-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25868-86-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25868-86-4.html,,,,,,,,0.02,,,マンガンおよびマンガン化合物（Mn として，有機マンガン化合物を除く）,皮,2021,,0.02,,,,,"elemental and inorganic compounds, as Mn",,2013,,,,,,,2,,,,,,,,,,,,,,1,,1,,,,,
25962-77-0,"trans-2-（（ジメチルアミノ）メチルイミノ）-5-（2-（5-ニトロ-2-フリル）ビニル）-1,3,4-オキサジアゾール","trans-2-（（ジメチルアミノ）メチルイミノ）-5-（2-（5-ニトロ-2-フリル）ビニル）-1,3,4-オキサジアゾール","trans-2-[(Dimethylamino)methylimino]-5-[2-(5-nitro-2-furyl)vinyl]-1,3,4-oxadiazole",m-nite-25962-77-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25962-77-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/labcas-25962-77-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/cas-25962-77-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,277.24,,,,,,,,,,,,,,,,,,,,
25973-55-1,"2-(2H-ベンゾトリアゾール-2-イル)-4,6-ジ-ターシャリ-ペンチルフェノール【UV-328】","2-(2H-ベンゾトリアゾール-2-イル)-4,6-ジ-ターシャリ-ペンチルフェノール【UV-328】","2-(2H-Benzotriazol-2-yl)-4,6-di-tert-pentylphenol; UV-328",m-nite-25973-55-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-25973-55-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab25973-55-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/25973-55-1.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,351.48516,,7.25,229,0.0148,mg/L,,,,,,,,,,,,,,,
26087-47-8,"チオりん酸S-ベンジル-O, O-ジイソプロピル (別名イプロベンホス)","チオりん酸S-ベンジル-O, O-ジイソプロピル (別名イプロベンホス)","S-benzyl O,O-diisopropyl phosphorothioate [Iprobenfos]",m-nite-26087-47-8,,,,,,,,,,,,,,,,,,4,,,,,,2B,,1,,,2,1,2,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26087-47-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26087-47-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26087-47-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,288.34,187.6,3.21,,430,mg/L,0.0000405,mmHg,1,,,1,,,,,,,,,
26140-60-3,テルフェニル,テルフェニル,Terphenyl,m-nite-26140-60-3,,,,,,,,,,,,,,,,,,,,,,,2,2A,,,,,,3,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26140-60-3.html,-,https://anzeninfo.mhlw.go.jp/anzen/gmsds/0847.html,,,,,,,,,,,,,,,,,,,5,,,1980,,,,,,,2,230.3,208,5.5,163,51.24,mg/L,,,,,,,,,,,,,,,
26239-64-5,"トリブチルスズ=1,2,3,4,4a,4b,5,6,10,10a-デカヒドロ-7-イソプロピル-1,4a-ジメチル-1-フェナントレンカルボキシラート及びこの類縁化合物の混合物（トリブチルスズロジン塩）","トリブチルスズ=1,2,3,4,4a,4b,5,6,10,10a-デカヒドロ-7-イソプロピル-1,4a-ジメチル-1-フェナントレンカルボキシラート及びこの類縁化合物の混合物（トリブチルスズロジン塩）","[1R-(1alpha,4abeta,4balpha,10aalpha)]-Tributyl[[[1,2,3,4,4a,4b,5,6,10,10a-decahydro-7-isopropyl-1,4a-dimethyl-1-phenanthryl]carbonyl]oxy]stannane",m-nite-26239-64-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26239-64-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26239-64-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26239-64-5.html,,,,,,,,,,,,,,,0.1,,0.2,,,"organic compounds, as Sn",Skin,1996,,,,,,,2,591.5,,,,,,,,,,,,,,,,,,,,
26248-24-8,トリデシルベンゼンスルホン酸ナトリウム（C13）,トリデシルベンゼンスルホン酸ナトリウム（C13）,Sodium tridecylbenzenesulphonate (C13),m-nite-26248-24-8,,,,,,,,,,,,,,,,,,4,,,,,2,2A,,,,,,,,,2,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26248-24-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26248-24-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26248-24-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2.52,,5,mg/L,,,,,,,,,,,,,,,
26261-57-4,マゼンタII,マゼンタII,Magenta,m-nite-26261-57-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26261-57-4.html,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
26444-49-5,りん酸クレジルジフェニル,りん酸クレジルジフェニル,Cresyl diphenyl phosphate,m-nite-26444-49-5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,2,,1,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26444-49-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26444-49-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26444-49-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,340.33,390,3.7,232,2,mg/L,0.000001,hPa,,,,,,,,,,,,,
26447-14-3,"1,2-エポキシ-3-(トリルオキシ)プロパン","1,2-エポキシ-3-(トリルオキシ)プロパン","1,2-Epoxy-3-(tolyloxy)propane",m-nite-26447-14-3,,,,,,,,,,,,,,,,,,,,,,,2,2B,,1,,,,,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26447-14-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26447-14-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26447-14-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,170,,125,935,mg/L,0.043,mmHg,1,,,1,,,,,,,,,
26447-40-5,"1,1′‐メチレンビス（イソシアナトベンゼン）","1,1′‐メチレンビス（イソシアナトベンゼン）",methylenediphenyl diisocyanate,m-nite-26447-40-5,,,,,,,,,,,,,,,,,,,,,,2,2,2B,,1,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26447-40-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26447-40-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26447-40-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,250.26,,4.5,208,1.39,mg/L,0.000005,hPa,1,,,1,,,,,,,,,
26471-62-5,"メチル-1,3-フェニレン=ジイソシアネート","メチル-1,3-フェニレン=ジイソシアネート","Methyl-1,3-phenylene diisocyanate",m-nite-26471-62-5,,,,,,,,,,,,,,,,,,,,,1,,1,2A,1,1,,2,,1,1,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26471-62-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab0208.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/0208.html,,,,,,,0.005,0.035,0.02,0.14,,,1992,,,,,,,,,,0.001,0.007,0.001,0.007,I(1),,1,174.16,120,3.74,127,,,,,0,,,1,,1,,1,,,,,
26530-20-1,2-n-オクチル-4-イソチアゾリン-3-オン,2-n-オクチル-4-イソチアゾリン-3-オン,2-n-Octyl-4-isothiazolin-3-one,m-nite-26530-20-1,,,,,,,,,,,,,,,,,,4,3,,,3,1,1,,1A,,,,1,1,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26530-20-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26530-20-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26530-20-1.html,,,,,,,,,,,,,,,,,,,,,,,,0.05,,0.1,I(2),,1,213.34,120,2.45,,,,0.0000271,mmHg,1,,,1,,,,,,,,,
26568-79-6,ポリ（２～３）エチレンポリアミン・アジピン酸・エピクロルヒドリン重縮合物,ポリ（２～３）エチレンポリアミン・アジピン酸・エピクロルヒドリン重縮合物,Poly (2-3) ethylenepolyamine-Adipic acid-Epichlorohydrin polycondensate,m-nite-26568-79-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26568-79-6.html,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26615-21-4,"2‐［（8‐クロロジベンゾ［b, f］チエピン‐10‐イル）オキシ］‐N, N‐ジメチルエタンアミン　（別名ゾテピン）","2‐［（8‐クロロジベンゾ［b, f］チエピン‐10‐イル）オキシ］‐N, N‐ジメチルエタンアミン　（別名ゾテピン）","2-[(8-Chlordibenzo[b,f]thiepin-10-yl)oxy]-N,N-dimethylethanamine, (alias Zotepine)",m-nite-26615-21-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26615-21-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26615-21-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26615-21-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,331.86,,,,,,,,,,,,,,,,,,,,
26628-22-8,アジ化ナトリウム,アジ化ナトリウム,Sodium azide,m-nite-26628-22-8,,,,,,,,G,,,,,,,,,,2,1,,,,1,1,,,,,,1,1,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26628-22-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26628-22-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26628-22-8.html,,,,,,,,,,,,,,,,,,,0.29,,,1996,,0.2,,0.4,I(2),,2,65.00987,,0.3,,41.7,g/100mL,1,Pa,1,,,1,,,,,,,,,
26761-40-0,フタル酸ジイソデシル (DIDP),フタル酸ジイソデシル (DIDP),Diisodecyl phthalate (DIDP),m-nite-26761-40-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,4,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26761-40-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26761-40-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26761-40-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,250,10.36,217,0.00028,g/L,0.000000528,mmHg,,,,,,,,,,,,,
26915-12-8,トルイジン,トルイジン,Toluidine,m-nite-26915-12-8,,,,,,4,,,,,,,,,,,,,,,,,,,,,,1B,,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26915-12-8.html,-,https://anzeninfo.mhlw.go.jp/anzen/gmsds/0606.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,107.16,200.2,,,,,,,,,,,,,,,,,,,
26952-21-6,イソオクタノール,イソオクタノール,Isooctanol,m-nite-26952-21-6,,,,,,4,,,,,,,,,,,,4,,,,,2,2B,,,,,,2,2,,3,3,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26952-21-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26952-21-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26952-21-6.html,,,,,,,,,,,,,,50,,,,,,,Skin,1990,,,,,,,1,130.23,188,2.73,82,640,mg/L,0.4,hPa,1,,,1,,,,,,,,,
26970-82-1,亜セレン酸ナトリウム（5水塩）,亜セレン酸ナトリウム（5水塩）,"Selenious acid, (H2SeO3), disodium salt, pentahydrate",m-nite-26970-82-1,,,,,,,,,,,,,,,,,,,,,,,,2A,,,,,,3,,,1,1,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-26970-82-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab26970-82-1.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/26970-82-1.html,,,,,,,,0.1,,,セレンおよびセレン化合物（Se として，セレン化水素，六フッ素化セレンを除く）,,2000,,0.2,,,,,"Selenium and compounds, as Se",,1992,,,,,,,2,263.01,,,,68,g/100mL,,,,,,,,,,,,,,,
27083-27-8,ポリヘキサメチレンビグアナイド,ポリヘキサメチレンビグアナイド,Polyhexamethylenebiguanide,m-nite-27083-27-8,,,,,,,,,,,,,,,,,,4,,,,1,,1,,1,,2,,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-27083-27-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab27083-27-8.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/27083-27-8.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,700,g/L,,,1,,,1,,,,,,,,,
27134-26-5,クロロアニリン,クロロアニリン,Chloroaniline,m-nite-27134-26-5,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-27134-26-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab27134-26-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/27134-26-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,127.57,,,,,,,,,,,,,,,,,,,,
27134-27-6,ジクロロアニリン,ジクロロアニリン,Dichloroaniline,m-nite-27134-27-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-27134-27-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab27134-27-6.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/27134-27-6.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,162.01,,,,,,,,,,,,,,,,,,,,
27152-57-4,亜砒酸カルシウム,亜砒酸カルシウム,Calcium arsenite,m-nite-27152-57-4,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,1A,2,1,1,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-27152-57-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab27152-57-4.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/27152-57-4.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,1,,1,,,,,
27176-87-0,ドデシルベンゼンスルホン酸,ドデシルベンゼンスルホン酸,Dodecylbenzenesulphonic acid,m-nite-27176-87-0,,,,,,,,,,,,,,,,,,4,,,,,2,1,,,,,,,,,2,2,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-27176-87-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab27176-87-0.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/27176-87-0.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,326.5,,1.96,148.9,,,,,1,,,1,,,,,,,,,
27247-96-7,2-エチルヘキシル=ニトラート,2-エチルヘキシル=ニトラート,2-Ethylhexyl nitrate,m-nite-27247-96-7,,,,,,4,,,,,,,,,,,,,,,,,,2B,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-27247-96-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab27247-96-7.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/27247-96-7.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,175.23,194,4.12,72,18,mg/L,0.263,mmHg,,,,,,,,,,,,,
27355-22-2,"4, 5, 6, 7-テトラクロロ-1, 3-ジヒドロベンゾ[c]フラン-2-オン (別名フサライド)","4, 5, 6, 7-テトラクロロ-1, 3-ジヒドロベンゾ[c]フラン-2-オン (別名フサライド)","4,5,6,7-Tetrachloro-1,3-dihydrobenzo[c]furan-2-one; Phthalide",m-nite-27355-22-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-27355-22-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab27355-22-2.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/27355-22-2.html,,,,,,,,10,,,,,1990,,,,,,,,,,,,,,,,2,271.91,290,3.2,,3,mg/L,,,,,,,,,,,,,,,
27459-10-5,4-イソドデシルフェノール,4-イソドデシルフェノール,4-Isododecylphenol,m-nite-27459-10-5,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1B,,2,,,,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-27459-10-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab27459-10-5.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/27459-10-5.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,262.4,195,7.14,180,0.031,mg/L,0.011,Pa,1,,,1,,,,,,,,,
27554-26-3,ジイソオクチル＝フタラート,ジイソオクチル＝フタラート,Diisooctyl phthalate,m-nite-27554-26-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1B,,,,,4,,https://www.chem-info.nite.go.jp/chem/ghs/m-nite-27554-26-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds_label/lab27554-26-3.html,https://anzeninfo.mhlw.go.jp/anzen/gmsds/27554-26-3.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,390.56,200,8.39,,1.3,mg/L,,,,,,,,,,,,,,,
