分類,名前の定義,項目,選択肢,Key,値,,,,,,,,,
GHS,listGHSEyeCorrOrIrrit,眼に対する重篤な損傷性／眼刺激性,区分1,GHS眼に対する重篤な損傷性／眼刺激性区分1,1,,,,,,,,,
GHS,listGHSEyeCorrOrIrrit,眼に対する重篤な損傷性／眼刺激性,区分2,GHS眼に対する重篤な損傷性／眼刺激性区分2,2,,,,,,,,,
GHS,listGHSEyeCorrOrIrrit,眼に対する重篤な損傷性／眼刺激性,区分2A,GHS眼に対する重篤な損傷性／眼刺激性区分2A,2A,,,,,,,,,
GHS,listGHSEyeCorrOrIrrit,眼に対する重篤な損傷性／眼刺激性,区分2B,GHS眼に対する重篤な損傷性／眼刺激性区分2B,2B,,,,,,,,,
GHS,listGHSRespSens,呼吸器感作性,区分1,GHS呼吸器感作性区分1,1,,,,,,,,,
GHS,listGHSRespSens,呼吸器感作性,区分1A,GHS呼吸器感作性区分1A,1A,,,,,,,,,
GHS,listGHSRespSens,呼吸器感作性,区分1B,GHS呼吸器感作性区分1B,1B,,,,,,,,,
GHS,listGHSSkinSens,皮膚感作性,区分1,GHS皮膚感作性区分1,1,,,,,,,,,
GHS,listGHSSkinSens,皮膚感作性,区分1A,GHS皮膚感作性区分1A,1A,,,,,,,,,
GHS,listGHSSkinSens,皮膚感作性,区分1B,GHS皮膚感作性区分1B,1B,,,,,,,,,
GHS,listGHSMuta,生殖細胞変異原性,区分1A,GHS生殖細胞変異原性区分1A,1A,,,,,,,,,
GHS,listGHSMuta,生殖細胞変異原性,区分1B,GHS生殖細胞変異原性区分1B,1B,,,,,,,,,
GHS,listGHSMuta,生殖細胞変異原性,区分2,GHS生殖細胞変異原性区分2,2,,,,,,,,,
GHS,listGHSCarc,発がん性,区分1A,GHS発がん性区分1A,1A,,,,,,,,,
GHS,listGHSCarc,発がん性,区分1B,GHS発がん性区分1B,1B,,,,,,,,,
GHS,listGHSCarc,発がん性,区分2,GHS発がん性区分2,2,,,,,,,,,
GHS,listGHSRepr,生殖毒性,区分1A,GHS生殖毒性区分1A,1A,,,,,,,,,
GHS,listGHSRepr,生殖毒性,区分1B,GHS生殖毒性区分1B,1B,,,,,,,,,
GHS,listGHSRepr,生殖毒性,区分2,GHS生殖毒性区分2,2,,,,,,,,,
GHS,listGHSSTOTSE,特定標的臓器毒性（単回暴露）,区分1,GHS特定標的臓器毒性（単回暴露）区分1,1,,,,,,,,,
GHS,listGHSSTOTSE,特定標的臓器毒性（単回暴露）,区分2,GHS特定標的臓器毒性（単回暴露）区分2,2,,,,,,,,,
GHS,listGHSSTOTSE,特定標的臓器毒性（単回暴露）,区分3,GHS特定標的臓器毒性（単回暴露）区分3,3,,,,,,,,,
GHS,listGHSSTOTRE,特定標的臓器毒性（反復暴露）,区分1,GHS特定標的臓器毒性（反復暴露）区分1,1,,,,,,,,,
GHS,listGHSSTOTRE,特定標的臓器毒性（反復暴露）,区分2,GHS特定標的臓器毒性（反復暴露）区分2,2,,,,,,,,,
GHS,listGHSAspTox,誤えん有害性,区分1,GHS誤えん有害性区分1,1,,,,,,,,,
VolatilityOrDustiness,listVolatility,液体,高揮発性（沸点：50℃未満）,VolatilityOrDustiness高揮発性（沸点：50℃未満）,1,,,,,,,,,
